
ARPANET	ˈɑɹ.pəˌnɛt
Parson&#039;s Pond	ˈpɑɹ.səns ˈpɒnd
Parthenon	ˈpɑːθənən
Pathet Lao	ˌpatɛt ˈlaʊ
Pearl Harbor	ˌpɝ˞l ˈhɑɹbɚ
Pecos	ˈpeɪkəs
Peggy	ˈpɛɡi
Pensacola	ˌpɛnsəˈkəʊlə
Pepsi	ˈpɛpsi
Perdita	pɚˈditə
Perivale	pɛɹɪveɪl
Peta	piː.tə
Peterson	ˈpitɚsən
Petone	pɛtəʊni
Petri dish	ˈpiːtɹi ˌdɪʃ
Philippi	ˈfɪləˌpaɪ
Philly	fɪl.i
Phlegethon	ˈflɛdʒɪθɒn
Piaget	pja.ˈʒɛ
Pictionary	ˈpɪkʃən(ə)ɹi
Pima	ˈpimə
Pinho	ˈpɪ.noʊ
Plains Cree	pleɪ̯nz kɹiː
Poconos	ˈpoʊkənoʊz
Poitier	ˈpwɑːtjeɪ
Polack	ˈpoʊlɑk
Polyphemus	ˌpɒlɨˈfiːməs
Ponzi	ˈpɒnzi
Popocatépetl	ˌpɒpəkæˈtɛpɛtəl
Portadown	ˌpɔː(ɹ)təˈdaʊn
Preston	ˈpɹɛstən
Priam	ˈpɹaɪəm
Przewalski&#039;s horse	pʒɛˈvɑːlskiz ˈhɔː(ɹ)s
Pulitzer	ˈpjulɪtsɚ
Puritan	ˈpjɝɪtən
Pygmalion	pɪɡˈmeɪliən
Pyrrhic victory	ˌpɪɹ.ɪk ˈvɪk.t(ə)ɹ.i
QAnonsense	ˌkju əˈnɑnsɛns
QED	ˌkjuːiːˈdiː
Qinghai	ˈtʃɪŋˈhaɪ
Qt	ˈkjuːt
Quinkan	ˈkwɪŋkən
Qujing	t͡ʃuːˈd͡ʒɪŋ
ROFL	ɹɒfl̩
ROSCO	ˈɹɒskəʊ
RSFSR	ɑː.ɛs.ɛf.ɛs.ˈɑː
Ramsey	ˈɹæmzi
Raphael	ˈɹæ.fɪ.əl
Reagan	ˈɹeɪɡən
Red Bay	ˈɹɛd ˈbeɪ
Renault	ˈɹɛnəʊ
Renée	ɹɪˈneɪ
Reverend	ˈɹɛvəɹənd
Rhinegrave	ˈɹʌɪnɡɹeɪv
Rio	ˈɹioʊ
Ripley	ˈɹɪpli
Robert	ˈɹɒb.ət
Roderick	ˈɹɒdɹɪk
Rodriguez	ɹɑˈdɾiɡɛz
Russia	ˈɹʌʃə
Sabah	ˈsɑːbɑː
Said	saɪd
Salagrama	ʃaːlaːɡɹaːmə
Salem	ˈseɪləm
Salisbury steak	sɒlzbɹiːˑsteɪk
Santa Ana	ˌsæntə ˈænə
Saskatoon	ˌsæs.kə.ˈtun
Sasse	sæs
Saturday	ˈsætədi
Savile Row	sævɪl ɹəʊ
Sawdon	ˈsɔːdən
Scheme	skiːm
ScoMo	ˈskəʉ.məʉ
Scotland	ˈskɒt.lənd
Seattleite	siˈætəlaɪt
Sebelius	sɪˈbiːliəs
SecDef	ˈsɛkˈdɛf
Secombe	ˈsiː.kəm
Segovia	sɪˈɡəʊviə
Seleucid	səˈluːsɪd
Semey	sɪˈmeɪ
Serbdom	ˈsəːbdəm
Seward	ˈs(j)u.əɹd
Seymour	ˈsiːmɔː(ɹ)
Shakopee	ˈʃɑːkəpiː
Shandong	ʃænˈdɒŋ
Shanxi	ˈʃɑnˈʃi
Sharples	ʃɑːpəlz
Sheedy	ˈʃi.di
Shenzhen	ˌʃɛnˈʒɛn
Sherlock Holmes	ˈʃɜɹ.lɒk ˈhoʊmz
Sherwood Forest	ˈʃɝwʊd ˈfɔɹɪst
Shiite	ʃiːaɪt
Shinigami	ˌʃɪn.ɪˈɡɑːmi
Shonda	ˈʃɔn.də
Shoreditch	ˈʃɔː(ɹ)dɪt͡ʃ
Shymkent	ʃɪmˈkɛnt
Siam	saɪˈæm
Sichuan	ˈsɪtʃ.wɑn
Silenus	saɪˈliːnəs
Simeon	ˈsɪm.i.ən
Sing	ˈsɪŋ
Sinophobic	saɪnəˈfəʊbɪk
Skyriot	ˈskiː.ɹi.ət
Slovak	sləˈvɑːk
Smollett	ˈsmɒlət
Smíchov	ˈsmiːxɒv
Sneed	sniːd
Soar	sɔː(ɹ)
Socrates	ˈsɒkɹətiːz
Sofia	sɒˈfiːə
Sologne	sə.ˈlɔɪn
Sophy	soʊˈfi
Sorbian	ˈsɔːbi.ən
Sorrento	səˈɹɛntəʊ
South Africa	ˌsaʊθ ˈæf.ɹɪ.kə
Southall	saʊθɔːl
Southwark	ˈsʌðə(ɹ)k
Spain	speɪn
Spree	spɹeɪ
Squamish	ˈskwɔːmɪʃ
Sramana	ˈʃɹʌmənə
St. Lunaire-Griquet	ˈseɪnt lʊˈnɛɹ ˈgɹɪ.kət
Stalin	ˈstɑː.lɪn
Stephen	ˈstiːvən
Stilton	ˈstɪltən
Stovin	ˈstəʊvɪn
Strauss	stɹaʊs
Sudbury	sʌdbəɹi
Sukhumi	suːˈxuːmi
Supes	suːps
Swanage	ˈswɒnɪd͡ʒ
Swithun	ˈswɪðən
Syrah	sɪˈɹa
Szeged	ˈsɛɡɛd
Sóc Trăng	ˈsɒktɹæŋ
TG girl	ˈtiːˈdʒiːˌɡɜːl
TRADOC	ˈtɹeɪdɒk
TTR	ˌtiː ˌtiː ˈɑː
Taihoku	taɪˈhɒku
Taliesin	ˌtælˈiɛsɨn
Tanglish	ˈtæŋɡlɪʃ
Tanya	ˈtænjə
Tariq	tæɹɪk
Tartu	ˈtɑɹtu
Tasman Sea	ˈtæzmən ˈsiː
Tate	teɪt
Taupo	ˈtaʊpəʊ
Tawstock	ˈtɔːstɒk
Tcl	ˈtɪk(ə)l
Ted	tɛd
Teec Nos Pos	tiːsˈnɒspɒs
Tel Aviv	ˈtɛl.əˈvɪv
Telex	ˈtɛˌlɛks
Teucer	ˈtjuːsəɹ
Texas	ˈtɛk.səs
Thailand	ˈtaɪ̯lənd
Thebaic	θɪˈbeɪ.ɪk
Themis	ˈθiːmɨs
Thermidorian	ˌθɜːmɪˈdɔːɹɪ.ən
Thermopolis	θɜːɹˈmɒpəlɪs
Tibetan	tɪˈbɛtn̩
Tilt Cove	ˈtɪlt ˈkoʊv
Timese	taɪˈmiːz
Timothy	ˈtɪməθi
Tinman	ˈɪnmən
Titanian	taɪˈteɪni.ən
Tiwi	ˈtiːwiː
Tlaxcala	tlɑːsˈkɑːlə
Tokoroa	təʊkəʊɹəʊə
Tommy	ˈtɑmi
Tongan	ˈtɒŋɡən
Tony	ˈtoʊni
Toomey	ˈtuːmi
Torontonian	təˈɹɒn.toʊ.ni.ən
Tour de France	ˌtʊə də ˈfɹɑːns
Trento	ˈtɹɛntoʊ
Treverbyn	tɹɪˈvɜː(ɹ)bɪn
Tridentine	tɹɪˈdɛntaɪn
Tristan	ˈtɹɪstən
Trumpland	ˈtɹʌmpˌlænd
Truro	ˈtɹʊəɹoʊ
Tse	si
Tsonga	ˈsɒŋɡə
Tucson	ˈtuːsɒn
Tukey	ˈtuːki
Turin	tjʊəˈɹɪn
Turkmen	ˈtɜːk.mən
Tutankhamun	ˌtutn̩ˈkɑmən
Tylenol	ˈtaɪləˌnɑl
Tyneside	ˈtaɪnsaɪd
Tyrone	taɪˈɹoʊn
Tánaiste	ˈtɔːnɪʃtə
U	juː
UCAS	ˈjuːkæs
USPS	ˌju ɛs pi ˈɛs
Ubert	ˈju.bɝt
Unakas	juˈneɪkəs
United States of America	ju.ˌnaɪ.tɪ̈d ˌsteɪts əv əˈmɛɹ.ɪ̈.kə
Universe	ˈjuːnɪˌvɜːs
Uranian	jʊˈɹeɪnɪən
Uri	ˈuːɹi
Urmia	ˈɜːmɪə
Utada	ˌuˈtɑdə
Utica	ˈjuːtɪkə
VESA	ˈviːsə
Valais	væˈleɪ
Valenciennes	ˌvælənsiˈɛnz
Vashon Island	væˌshɔn ˈaɪ.lənd
Vatican	ˈvæ.tɪ.kən
Vegan	ˈveɪɡən
Velma	ˈvɛlmə
Ventôse	vɒ̃ˈtəʊz
Vermont	vəˈmɒnt
Veroboard	ˈvɪəɹəʊbɔː(ɹ)d
Vesuvius	vəˈsu.vi.əs
Vetus Latina	ˈvɛtəs.ləˈtiːnə
Viennese	ˌviː.ən.iːz
Villach	ˈvɪlɑːx
Virginian	vɚˈd͡ʒɪnjən
Vogt	voʊɡt
Volga	ˈvɑːlɡə
Volscian	ˈvɒlʃən
Vowles	ˈvaʊlz
WAN	wæn
WAP	wæp
WHATWG	ˈwɒtwɪɡ
Wade	weɪd
Waiau	waɪˈaʊ
Wairoa	wʌɪˈɹəʊə
Walmatjari	ˈwʌlmədʒaːriː
Washington, D.C	ˈwɑʃɪŋtən ˈdiː ˌsiː
Wearhead	wɪə(ɹ)ˈhɛd
Weaste	wiːst
Web 2.0	ˈwɛbˈtuː.pɔɪntˈoʊ
Wednesday	ˈwɛdnz-
Wehraboo	vɛrəbuː
Welch	wɛltʃ
Wenatchee	wɛˈnætʃiː
Whittier	ˈʍɪtiɚ
Wichita	ˈwɪtʃɪtɔː
Wicklow	ˈwɪkləʊ
Wikipedian	wɪ.kɪˈpiː.dɪ.ən
Willamette	wɪˈlæmɪt
Windies	ˈwɪnd.iːz
Winston	ˈwɪnstən
Withybrook	ˈwɪðibɹʊk
Woiwurrung	ˈwaɪwərʊŋ
Wolof	ˈwəʊlɒf
Woodford	wʊdfəd
Worcestershire sauce	ˈwʊstə(ɹ)ʃə(ɹ) ˈsɔːs
World Wide Web	ˈwɜːld ˌwaɪd ˈwɛb
Worsley	ˈwɜː(ɹ)zli
Worthing	ˈwəːðɪŋ
Wrexham	ˈɹɛksəm
Wyden	ˈwaɪdən
Wyoming	waɪˈoʊmɪŋ
X	ɛks
Xanthe	ˈzænθi
Xena	ˈziː.nə
Xenophanes	zɛˈnɒfəniːz
Xicheng	ʃiːˈtʃʌŋ
YAML	ˈjæməl
Yekaterinburg	jɛkətərɪnˈbɜːrɡ
Yeshua	ˈjɛ.ʃuː.ə
Yiewsley	juːzli
Yindjibarndi	ˈjɪndʒiːbʌndiː
Yoder	ˈjoʊdɚ
Yorkie	ˈjɔɹki
Yumpsville	ˈjʌmps.vɪl
Yuwaalaraay	juˈwaləraɪ
Yên Bái	ˈjɛnbaɪ
ZOG	ˈzɑɡ
Zak	zæk
Zamora	zəˈmɔɹə
Zanzibar	ˈzænzɪbɑː(ɹ)
Zelophehad	zɪˈlɒfɪhæd
Zhongnanhai	ˌdʒʊŋ.nɑnˈhaɪ
Zubenelgenubi	ˌzuːbənˌɛl.d͡ʒəˈnu.bi
Zuczek	ˈzu.tʃɛk
Zuricher	ˈzjʊəɹɪkə
a friend in need is a friend indeed	ə ˌfɹɛnd ɪn ˈniːd ɪz ə ˌfɹɛnd ɪnˈdiːd
a-	ə
aardvark	ˈɑːd.vɑːk
ab extra	æb ˈɛk.stɹə
abaca	ˌæb.əˈkɑ
abacost	ˈæ.bə.kɒst
abaht	əˈbɑːt
abampere	æˈbæmpɪɹ
abased	əˈbeɪst
abashless	əˈbæʃ.lɪs
abat-vent	ɑ.ˌbɑ.ˈvɑ̃
abatised	ˈæb.əˌtɪst
abaya	əˈbeɪ.jə
abbatial	ˈæˌbeɪ.ʃl̩
abbreviation	əˌbɹiː.viˈeɪ.ʃən
abdabs	ˈæb.dæbz
abdicate	ˈæb.dɪˌkeɪt
abdominal fin	əbˈdɑm.ə.nl̩ fɪn
abdominal rib	əbˈdɑm.ə.nl̩ ɹɪb
abdominodiaphragmatic breathing	æbˌdɑm.ɪ.noʊ.di.ə.fɹæɡˈmæt.ɪk
abdominothoracic	æbˌdɑm.ɪ.noʊ.θəˈɹæs.ɪk
abducent nerve	æbˈdjus.ənt nɚv
abecedarius	ˌeɪ.biˌsiˈdæɹ.i.əs
abembryonic	ˌæbˌɛm.bɹiˈɑn.ɪk
aberdavine	ˈæb.ɚ.dəˌvaɪn
aberration	ˌæb.əˈɹeɪ.ʃn̩
abetalipoproteinemia	eɪˌbeɪ.təˌlɪp.oʊˌpɹoʊ.tiˈni.mi.ə
abeyant	əˈbeɪ(ə)nt
abhorrency	əˈbɔɹɪnsi
abiding	əˈbaɪ.dɪŋ
abietene	ˈæb.i.əˌtin
abilla	əˈbi.ə
abiogenically	ˌeɪ.baɪ.əˈd͡ʒɛ.nɪ.kə.li
abiotrophy	ˌæ.biˈɑ.tɹə.fi
abjudge	æbˈd͡ʒʌd͡ʒ
abjurer	æbˈd͡ʒʊɹ.ɚ
ablastemic	ˌeɪ.blæˈstɛ.mɪk
ablative absolute	ˈæb.lə.tɪv æb.soʊˈlut
abled	ˈeɪ.bl̩d
abligurition	əˌblɪɡjʊˈɹɪʃən
ablution	əˈbluː.ʃn̩
abnet	ˈæb.nət
abnormous	əbˈnɔɹ.məs
aboideau	ɑ.bwɑ.doʊ
abolitionism	ˌæb.əˈlɪʃ.əˌnɪz.m̩
abominable snowman	əˈbɑm.nə.bl̩ ˈsnoʊ.mæn
aborigen	æbˈɔɹ.ə.d͡ʒən
aborted	əˈbɔrtɪd
abortiveness	əˈbɔɹ.tɪv.nəs
abounder	əˈbaʊn.dɚ
above proof	əˈbʌv pɹʊf
abovementioned	əˌbʌvˈmɛnʃənd
abranchialism	ˌeɪˈbɹæŋ.ki.l̩.ɪz.m̩
abrasion	əˈbɹeɪ.ʒn̩
abreast	əˈbɹɛst
abridger	əˈbɹɪ.d͡ʒɚ
abrogate	ˈæ.bɹə.ɡət
abruptio placentae	ɑˈbɹʊp.tiˌoʊ plɑˈkɛnˌti
absciss	ˈæb.sɪs
abscondence	æb.ˈskɑn.dn̩s
absent-minded	ˌæb.sn̩tˈmaɪn.dɪd
absenteeship	ˌæb.sn̩ˈti.ʃɪp
absinthe green	ˈæb.sɪnθ ɡɹin
absis	ˈæb.sɪs
absolute constant	ˌæb.səˈljut ˈkɑn.stn̩t
absolute majority	ˌæb.səˈljut məˈd͡ʒɑɹ.ɪ.ti
absolute space	ˌæb.səˈljut speɪs
absolute zero	ˌæb.səˈljut ˈzi.ɹoʊ
absolutistically	ˈæb.səˌluˌtɪs.tɪk.li
absolvitory	æbˈsɑl.vəˌtɔɹ.i
absorbed	əbˈzɔɹbd
absorberman	əbˈzɔɹ.bɚ.mæn
absorption coefficient	əbˈsɔɹp.ʃn̩ ˌkoʊ.əˈfɪʃ.n̩t
absorptive	æbˈzɔɹp.tɪv
abstention	əbˈstɛn.ʃn̩
abstinence	ˈæb.stɪ.nəns
abstract art	ˈæbˌstɹækt ɑː(ɹ)t
abstractedness	əbˈstɹæk.tɪd.nəs
abstractly	æbˈstɹækt.li
absurdness	əbˈsɜːd.nəs
abundancy	əˈbʌn.dn̩t.si
aburst	əˈbɜːst
abuser	əˈbjuː.zɚ
abutt	əˈbʌt
abyssal zone	əˈbɪs.l̩ zəʊn
academese	ə.kæ.dəˈmiːz
academician	ˌa.kə.dəˈmɪʃ.n̩
acai	ˌæ.saɪˈiː
acalyptrate	ˌeɪˈkæl.ɪp.tɹeɪt
acanthamoebiasis	əˌkæn.θə.miˈbaɪ.ə.sɪs
acanthocephalid	əˌkæn.θoʊˈsɛf.ə.lɪd
acanthophorous	ˌækənˈθɒfəɹəs
acanthosoma	əˌkæn.θəˈsoʊ.mə
acarpellous	ˌeɪ.ˈkɑɹ.pə.ləs
acault	ət͡ʃaʊ
accelerator	ɪk.ˈsɛl.ə.ˌɹeɪt.ɚ
accentuate	ækˈsen.t͡ʃuˌeɪt
accepted	æk.ˈsɛp.tɪd
accessibleness	æk.ˈsɛs.ə.bəl.nəs
accidental	ˌæk.sɪ.ˈdɛn.tl̩
accite	əkˈsaɪt
acclimatization	ə.ˌklaɪ.mə.tə.ˈzeɪ.ʃən
accommodable	əˈkɒmədəb(ə)l
accompanied	əˈkʌmpniːd
accomplished	ə.ˈkɑm.plɪʃt
according to plan	əˈkɔɹdɪŋ tə ˈplæn
accountableness	ə.ˈkaʊn.tə.bəl.nəs
accouter	əˈku tɚ
accredited	əˈkɹɛd.ɪt.əd
accruable	ə.ˈkɹu.ə.bəl
acculturative	ə.ˈkʌl.t͡ʃə.ˌɹeɪt.ɪv
accumulator	ə.ˈkjum.jə.ˌleɪ.tɚ
accusable	əˈkjuːzəbl
accusatrix	əˈkjusətɹɪks
accustomedness	əˈkʌs.təmd.nɪs
acephalan	eɪˈsɛ.fə.lən
acerola	æ.səˈɹəʊ.lə
acescent	əˈsiːsənt
acetary	əˈsiːtəɹi
acetosity	ˈæsɛˌtɒsɪti
aching	ˈeɪ.kɪŋ
aciclovir	eɪˈsʌɪ.klə(ʊ)ˌvɪə
acierate	ˈeɪsiəɹeɪt
acoelomic	ˌeɪsiːˈlɒmɪk
acoustics	əˈkuː.stɪks
acquiescent	æˈkwi.ɛsn̩t
acquitted	əˈkwɪtɪd
acrobat	ˈæk.ɹə.bæt
acrook	əˈkɹʊk
acrylic	ə.ˈkɹɪl.ɪk
actinometry	ˌæktɪˈnɒmətɹi
active	ˈæk.tɪv
acuate	ˈæk.ju.ət
acyl	ˈæ.sɪl
ad nauseam	ˌæd ˈnɔːziəm
adamantine	ˌæd.əˈmæn.taɪn
adapter	əˈdaptə
addition	æˈdɪʃən
addressed	əˈdɹɛst
adeling	ˈæ.də.lɪŋ
adequate	ˈæ.də.kɪt
adhibition	ˌædhɪˈbɪʃən
adiaphanous	ædɪˈæfənəs
aditus	ˈæ.dɪ.təs
adjourn	əˈdʒɝn
adjusted	əˈdʒʌstɪd
admin	ədˈmɪn
admirable	ˈæd.m̩.ɹə.bəl
admiring	æd.ˈmaɪ.ɚ.ɪŋ
ado	əˈduː
adopter	əˈdɒp.tə
adorn	əˈdɔɹn
adposition	ˈæd.pəˌzɪ.ʃən
adscititious	ædsəˈtɪʃəs
adulterer	əˈdʌltəɹə
advance	ədˈvɑːns
adventive	ədˈvɛntɪv
adversary	ədˈvɜː.sə.ɹi
advice	ədˈvaɪs
advocatrice	ˈædvəkətɹɪs
aeolipile	ˈiː.əʊ.lɪ.pʌɪl
aero	ˈɛəɹəʊ
aeronef	ˈɛː.ɹə.nɛf
aestivation	ˌiːstɪˈveɪʃən
aeviternity	ˌɛvɪˈtɜː(ɹ)nɪti
affabrous	ˈæ.fə.bɹəs
affectionately	əˈfɛkʃənətli
affiliation	əˌfɪliˈeɪʃən
affliction	əˈflɪkʃən
affray	əˈfɹeɪ
affy	əˈfaɪ
afire	əˈfaɪə(ɹ)
afloat	əˈfloʊt
afore	əˈfɔɹ
aft	æft
afterings	ˈæf.təɹ.ɪŋz
ageist	ˈeɪ.dʒɪst
agente provocateuse	ˌaʒɒ̃(t) pɹəvɒkəˈtəːz
aggest	əˈdʒɛst
aggravated	ˈæɡ.ɹə.veɪ̯tɪd
agisted	əˈdʒɪstɪd
agitpropping	ˈædʒɪtˌpɹɒpɪŋ
agnath	ˈæɡ.nəθ
agnosia	æɡ.ˈnoʊ.ʒə
agonistic	aɡəˈnɪstɪk
agrarian	əˈɡɹɛ(ə)ɹi.ən
agriculture	ˈæɡɹɪˌkʌltʃə
agronomial	ˌæ.ɡɹəˈnəʊ.mɪ.əl
ah pui	ɑ bʊɪ
ahigh	əˈhaɪ
ahorseback	əˈhɔː(ɹ)sbæk
aide-de-camp	ˌeɪd dɪ ˈkɒmp
aiguillette	ˌeɪɡwɪˈlɛt
ailurophil	aɪˈljʊəɹəfɪl
aimless	ˈeɪm.ləs
air hose	ˈɛɹhoʊz
airframe	ˈɛɹ.fɹe(ɪ)m
airmails	ˈɛə.meɪlz
aisle	aɪ̯l
ajangle	əˈdʒæŋɡəl
ajwain	ˈædʒwaɪn
aketon	ˈæk.(ə.)tən
akropolis	æˈkɹɒ.pɒ.lɪs
al dente	æl ˈdɛn.ti
alabaster	ˈæl.əˌbæs.tə
alary	ˈeɪ.lə.ɹi
albacore	ˈæl.bə.kɔɹ
albizzia	ælˈbɪtsi.ə
alcahest	ˈal.kə.hɛst
alchemist	ˈæl.kə.mɪst
alcoholism	ˈælkəhɒˌlɪzəm
aleatory	ˈæ.lɪ.ə.tə.ɹi
alethic	əˈlɛθɪk
alexander	ˌælɨɡˈzændɚ
alexithymic	əˌlɛksɪˈθaɪmɪk
alfresco	ælˈfɹɛs.koʊ
algeny	ˈæl.dʒɛn.i
algolagniac	alɡə(ʊ)ˈlaɡnɪak
alibi	ˈæl.ə.baɪ
alienate	ˈeɪ.li.ə.neɪt
alignment	əˈɫaɪnmənt
alirocumab	ˌæl.ɪˈɹɑk.jəˌmæb
alkalic	ælˈkælɪk
alkie	ˈæl.ki
allege	əˈlɛdʒ
alleluiatic	ælɪluːˈjætɪk
alley oop	alɪˈʊp
alligator	ˈæl.ɪ.ɡeɪ.tə
allocation	æləˈkeɪʃən
allograph	ˈæləɡɹɑːf
allomother	ˈæləˌmʌðə(ɹ)
allotopia	ˌæloʊˈtoʊpiə
allure	əˈl(j)ʊɚ
allylic	əˈlɪlɪk
almighty	ɔːlˈmaɪti
almude	ælˈmuːd(ə)
aloha	əˈləʊ.(h)ə
alop	əˈlɒp
alpine	ˈæl.paɪn
alright	ˌɔːlˈɹaɪt
altar	ˈɒl.tə
alternation	ˈɒl.tə(ɹ).ˌneɪ.ʃən
altricial	əlˈtɹɪʃəl
aluminium	ˌæl.(j)ʊˈmɪn.jəm
alveus	ˈæl.vi.əs
amalgamation	əˌmælɡəˈmeɪʃən
amaranth	-ɹænt
amazed	əˈmeɪzd
ambagious	æmˈbeɪdʒəs
ambiance	ˈɒm.bi.ɒns
ambit	ˈæmbɪt
ambler	ˈæm.blɚ
ambulance	ˈæm.bjə.ləns
amel	ˈæməl
amends	ʌˈmɛnds
amiability	eɪ.mi.ʌˈbɪl.ə.ti
amidships	əˈmɪd.ʃɪps
aminoglutethimide	əˌmi.noʊ.ɡluˈtɛθ.ɪˌmaɪd
amnesty	ˈæm.nɪ.sti
amoebal	əˈmiːbəl
amorce	əˈmɔɹs
amound	əˈmaʊnd
ampersand	ˈæmp.ə(ɹ)ˌzænd
amphibrach	ˈam.fɪ.bɹak
amplifier	ˈæm.plə.faɪ.ə
amrinone	ˈæm.ɹəˌnoʊn
amusedly	əˈmjuːz.əd.li
amyl nitrite	am.ɪl ˈnʌɪ.tɹʌɪt
anabolism	ə.ˈnæ.bə.ˌlɪ.zəm
anacreontic	əˌnækɹiˈɒntɪk
anagoge	anəˈɡəʊdʒi
analcime	əˈnæl.saɪm
analogously	əˈnæl.ə.ɡəs.li
analyzed	ˈæn.ə.laɪzd
anankastic	ænənˈkæstɪk
anaplastic	ˌænəˈplæstɪk
anatiferous	ænəˈtɪfəɹəs
anatomize	əˈnætəmaɪz
ancestry	ˈæn.sɛs.tɹi
ancient	-tʃənt
andiron	ˈændaɪə(ɹ)n
anecdoton	əˈnɛkdətɒn
anent	əˈnɛnt
anfractuous	ænˈfɹæktjʊəs
angelically	ænˈdʒɛlɪkli
angiotenic	ˌænd͡ʒioʊˈtɛnɪk
angloid	ˈaeŋɡlɔɪd
angora	æŋˈɡɔːɹə
angulus	ˈæŋ.ɡjəl.əs
anhypostasis	ænˌhaɪ.pəˈsteɪ.sɪs
animadvert	ˌænɪmədˈvɜːt
anime	ˈæn.ɪ.mə
anise	ˈæn.ɪs
aniṭ	ˈʌnɪt
ankylosaurus	ˌæŋkəloʊˈsɔːrəs
annal	ˈænəl
annotatrix	ˈænəteɪtɹɪks
annual	ˈæn.jəl
anoa	əˈnoʊə
anonymously	əˈnɒnəməsli
anosmia	æˈnɒzmiə
ant	ænt
antarctic	ænˈtɑːktɪk
antechamber	ˈæn.tiˌt͡ʃeɪm.bə
anterior	anˈtɪə.ɹi.ə
anthimeria	ænθɪˈmɪəɹiə
anthrax	ˈæn.θɹæks
anthropology	ˌænθɹəˈpɒlədʒi
anthropophagous	ˌæn.θɹə.ˈpɒ.fə.ɡəs
anti-	ˈæn.tɪ
antic	ˈæn.tɪk
anticorruption	ˌæntiːkəˈɹʌpʃən
antihelix	ˌæn.tɪˈhi.lɪks
antimony	ˈæn.tɪ.mə.niː
antiphonic	æn.tɪ.fɒ.nɪk
antiptosis	æntɪpˈtəʊsɪs
antiseptic	ˌæntiˈsɛptɪk
antivenin	ˌæntɪˈvɛnɪn
antonomasia	ænˌtɒnəʊˈmeɪzɪə
antumbra	ˈæn.tʌm.bɹə
any	ˈɛnɪ
anything	ˈɛn.i.θɪŋ
apagoge	ˈæ.pə.ɡəʊ.dʒi
apartment	əˈpɑːt.mənt
apeirogon	əˈpeɪ̯ɹɵɡɑn
apeshit	ˈeɪp.ʃɪt
apheresis	əˈfɪəɹɪsɪs
apocynthion	æpəʊˈsɪnθɪən
apograph	ˈæpəɡɹɑːf
apology	əˈpɒl.ə.dʒi
apophysis	əˈpɒfɪsɪs
apostatical	ˌæpəsˈtætɪkəl
apotome	əˈpɒtəmi
appealingly	əˈpɪil.ɪŋ.li
appellative	əˈpɛlətɪv
appertain	æpɚˈteɪn
applause	əˈplɔːz
appley	ˈæpl̩.iː
appoggiatura	ə.ˌpɒ.dʒə.ˈtʊɹ.ə
apposition	ˌæpəˈzɪʃn̩
apprehensive	ˌæpɹɪˈhɛnsɪv
appropry	əˈpɹəʊpɹi
approximation	<ul><li>Rhymes: <a href="/wiki/Rhymes:English/e%C9%AA%CA%83%C9%99n" title="Rhymes:English/eɪʃən"><span class="IPA">-eɪʃən</span></a></li>
apricitabine	ˌæp.ɹɪˈsaɪ.təˌbin
apsis	ˈæpsɪs
aquafaba	ˌækwəˈfɑːbə
aquatint	ˈækwətɪnt
aquiver	əˈkwɪvə(ɹ)
arabica	əˈɹæbɪkə
arachnidism	əˈɹæknɪdɪzm
arational	eɪˈɹaʃ(ə)nəl
arbitrament	ɑːˈbɪtɹəmənt
arborolatry	ɑɹbɚˈɑlətɹi
arcade	ɑɹˈkeɪd
arcdegree	ˈɑːkdɪˌɡɹiː
archaeophyte	ˈɑː.ki.əˌfaɪt
archbishophood	ɑːtʃˈbɪʃəphʊd
arched	ɑɹt͡ʃt
archival	ˌɑːˈkaɪ.vəl
archy	ˈɑɹt͡ʃi
arctician	ɑɹkˈtɪʃən
arduous	ˈɑːd͡ʒuːəs
areola	ˌæ.ɹiˈəʊ.lə
argentry	ˈɑː(ɹ)dʒəntɹi
arguable	ˈɑːɡjuəbl
argute	ɑːˈɡjuːt
ariose	ˈæ-
aristocracy	ˌæ.ɹɪˈstɒk.ɹə.si
armet	ˈɑː.mɛt
armlet	ˈɑːmlət
aromatase	əˈɹoʊ̯məteɪ̯z
arrect	əˈɹekt
arrivant	əˈɹaɪvənt
arrove	əˈɹoʊv
arsed	ɑːst
arsis	ˈɑː(ɹ)sɪs
arte-	ɑːˈtɛ
artery	ˈɑː.tə.ɹi
arthropod	ˈɑːθrəpɒd
artifact	ˈɑːtɪfækt
artisanal	ˈäɹtəzæn(ə)l
arum	ˈɛ(ə)ɹəm
arvo	ˈɐː.vəʉ
asper	ˌæz ˈpɜː
ascensive	əˈsɛnsɪv
ascii	ˈæski
ashy	ˈæʃi
asker	ˈæsk.ɚ
asparagus	əˈspæɹ.ə.ɡəs
asperate	æspəɹeɪt
asphalt	ˈæsfɑlt
aspirated h	ˈæspəɹeɪtəd eɪtʃ
asprawl	əˈspɹɔːl
assailant	əˈseɪlənt
assclown	ˈæsˌklaʊn
asserted	əˈsɜːtɪd
assets	ˈæsɛts
assign	əˈsaɪn
assistant	əˈsɪstənt
assoilzie	əˈsɔɪl(j)ɪ
assumpt	əˈsʌmpt
aster	ˈæstə(ɹ)
asthenosphere	asˈθɛnə(ʊ)sfɪə
astonishing	əˈstɒnɪʃɪŋ
astrain	əˈstɹeɪn
astringence	əˈstɹɪndʒ.əns
astrogeometry	ˈæstɹədʒiː.ɑ.mɛt.ɹi
