-ійський	 ˈii̯sʲkei̯
органічна хімія	ɔrɦɐˈnʲit͡ʃnɐ ˈxʲimʲijɐ
орнітологічний	ɔrnʲitɔɫoˈɦʲit͡ʃnei̯
освіта	ɔsʲˈʋʲitɐ
осиротіти	ɔseroˈtʲite
основоположний	ɔsnɔwɔpɔˈɫɔʒnei̯
осоромлювати	ɔsɔˈrɔmlʲʊʋɐte
отже	ˈɔdʒe
офігенний	ɔfʲiˈɦɛnːei̯
охорона	ɔxɔˈrɔnɐ
оцет	ˈɔt͡set
очиці	ɔˈt͡ʃɪt͡sʲi
п&#039;ятдесят один	pjɐddeˈsʲat ɔˈdɪn
п&#039;ятнадцятий	pjɐtˈnad͡zʲt͡sʲɐtei̯
п&#039;єса	ˈpjɛsɐ
павза	ˈpau̯zɐ
палестинець	pɐɫeˈstɪnet͡sʲ
палка	ˈpaɫkɐ
паморозь	ˈpamɔrɔzʲ
пандемічний	pɐndeˈmʲit͡ʃnei̯
паразит	pɐrɐˈzɪt
парижанин	pɐreˈʒanen
парниковий ефект	pɐrneˈkɔʋei̯ eˈfɛkt
партнер	pɐrtˈnɛr
пасажирка	pɐsɐˈʒɪrkɐ
патент	pɐˈtɛnt
патріотизм	pɐtʲrʲiɔˈtɪzm
пацюк	pɐˈt͡sʲuk
пекарка	ˈpɛkɐrkɐ
пенсіонерка	penʲsʲiɔˈnɛrkɐ
перебороти	perebɔˈrɔte
переважати	pereʋɐˈʒate
перевантажувати	pereʋɐnˈtaʒʊʋɐte
перевиховувати	pereʋeˈxɔwʊʋɐte
перед	ˈpɛred
передвиборчий	peredˈʋɪbɔrt͡ʃei̯
передувати	peredʊˈʋate
перезаписувати	perezɐˈpɪsʊʋɐte
перекотиполе	perekɔˈtɪpɔɫe
перемога	pereˈmɔɦɐ
переорієнтація	pereɔrʲijenˈtat͡sʲijɐ
перепросити	pereprɔˈsɪte
переселенка	pereseˈɫɛnkɐ
перетворити	peretwɔˈrɪte
перечитувати	pereˈt͡ʃɪtʊʋɐte
перспективний	perspekˈtɪu̯nei̯
першомучениця	perʃoˈmut͡ʃenet͡sʲɐ
періодично	perʲiɔˈdɪt͡ʃnɔ
пизда	pezˈda
письменність	pesʲˈmɛnʲːisʲtʲ
пити	ˈpɪte
плакат	pɫɐˈkat
платіж	pɫɐˈtʲiʒ
плем&#039;я	ˈpɫɛmjɐ
плоть	pɫɔtʲ
пляж	plʲaʒ
пов&#039;язувати	pɔˈʋjazʊʋɐte
повезти	pɔʋezˈtɪ
повноваження	pɔu̯nɔˈʋaʒenʲːɐ
повстанець	pɔu̯ˈstanet͡sʲ
повх	pɔu̯x
повісити	pɔˈʋʲisete
поглинати	pɔɦɫeˈnate
погроза	pɔˈɦrɔzɐ
податок	pɔˈdatɔk
подолання	pɔdɔˈɫanʲːɐ
подякувати	pɔˈdʲakʊʋɐte
позавчора	pɔzɐu̯ˈt͡ʃɔrɐ
поздоровляти	pɔzdɔrɔu̯ˈlʲate
познайомитися	pɔznɐˈjɔmetesʲɐ
показати	pɔkɐˈzate
покоління	pɔkoˈlʲinʲːɐ
поламати	pɔɫɐˈmate
полон	pɔˈɫɔn
польський	ˈpɔlʲsʲkei̯
поліглот	pɔlʲiˈɦɫɔt
політизація	pɔlʲiteˈzat͡sʲijɐ
помешкання	pɔˈmɛʃkɐnʲːɐ
помітити	poˈmʲitete
понеділковий	pɔneˈdʲiɫkɔʋei̯
попри	ˈpɔpre
попільничка	pɔpʲilʲˈnɪt͡ʃkɐ
порекомендувати	pɔrekɔmendʊˈʋate
пороховий	pɔrɔxɔˈʋɪi̯
порушення	poˈruʃenʲːɐ
порівнювати	poˈrʲiu̯nʲʊʋɐte
посада	pɔˈsadɐ
посередниця	pɔseˈrɛdnet͡sʲɐ
поскаржитися	pɔˈskarʒetesʲɐ
посміхнутися	pɔsʲmʲixˈnutesʲɐ
поспішний	poˈsʲpʲiʃnei̯
поставити	pɔˈstaʋete
постачити	pɔˈstat͡ʃete
посуха	poˈsuxɐ
поточний	pɔˈtɔt͡ʃnei̯
потягнути	pɔtʲɐɦˈnute
походження	pɔˈxɔd͡ʒenʲːɐ
початківець	pɔt͡ʃɐtʲˈkʲiʋet͡sʲ
почувати	pɔt͡ʃʊˈʋate
пошук	ˈpɔʃʊk
поїзд	ˈpɔjizd
прабаба	prɐˈbabɐ
право	ˈprawɔ
правоохоронний	prɐwɔɔxɔˈrɔnːei̯
прагнення	ˈpraɦnenʲːɐ
практичний	prɐkˈtɪt͡ʃnei̯
праслов&#039;янський	prɐsɫɔˈʋjanʲsʲkei̯
праця	ˈprat͡sʲɐ
презентація	prezenˈtat͡sʲijɐ
прелюдія	preˈlʲudʲijɐ
прибуток	preˈbutɔk
привабливість	preˈʋabɫeʋʲisʲtʲ
приводити	preˈwɔdete
приголомшливий	preɦɔˈɫɔmʃɫeʋei̯
придумувати	preˈdumʊʋɐte
призма	ˈprɪzmɐ
прийнятність	prei̯ˈnʲatʲnʲisʲtʲ
прикрасити	preˈkrasete
приманити	premɐˈnɪte
принести	preneˈstɪ
принциповий	prent͡seˈpɔʋei̯
припускати	prepʊˈskate
приручати	prerʊˈt͡ʃate
прислухатися	presɫʊˈxatesʲɐ
присудок	ˈprɪsʊdɔk
притягти	pretʲɐɦˈtɪ
причинно-наслідковий	preˈt͡ʃɪnːɔ nɐsʲlʲidˈkɔʋei̯
приєднатися	prejedˈnatesʲɐ
приїхати	preˈjixɐte
пробувати	ˈprɔbʊʋɐte
провакцинувати	prɔʋɐkt͡senʊˈʋate
прогнозувати	prɔɦnɔzʊˈʋate
програш	ˈprɔɦrɐʃ
продовження	prɔˈdɔu̯ʒenʲːɐ
прожити	prɔˈʒɪte
прокремлівський	prɔkremˈlʲiu̯sʲkei̯
промисловість	prɔmesˈɫɔʋʲisʲtʲ
пропаганда	prɔpɐˈɦandɐ
пророк	prɔˈrɔk
простежити	prɔˈstɛʒete
простота	prɔstɔˈta
протидія	prɔteˈdʲijɐ
протиракетний	prɔterɐˈkɛtnei̯
профіль	ˈprɔfʲilʲ
процвітаючий	prɔt͡sʲʋʲiˈtajʊt͡ʃei̯
проявити	prɔjɐˈʋɪte
проігнорувати	prɔiɦnɔrʊˈʋate
психопатичний	psexɔpɐˈtɪt͡ʃnei̯
психіатричний	psexʲiɐˈtrɪt͡ʃnei̯
пугач	ˈpuɦɐt͡ʃ
пустиня	pʊˈstɪnʲɐ
пюпітр	pʲʊˈpʲitr
південноамериканський	pʲiu̯denːɔɐmereˈkanʲsʲkei̯
північноатлантичний	pʲiu̯nʲit͡ʃnɔɐtɫɐnˈtɪt͡ʃnei̯
підвечірок	pʲidʋeˈt͡ʃʲirɔk
піддашшя	pʲiˈdːaʃʲːɐ
підкреслювати	pʲidˈkrɛsʲlʲʊʋɐte
підміняти	pʲidʲmʲiˈnʲate
підпис	ˈpʲidpes
підприємство	pʲidpreˈjɛmstwɔ
підтверджувати	pʲidtˈʋɛrd͡ʒʊʋɐte
пізній	ˈpʲizʲnʲii̯
пінистий	ˈpʲinestei̯
після	ˈpʲisʲlʲɐ
піхота	pʲiˈxɔtɐ
радикалізація	rɐdekɐlʲiˈzat͡sʲijɐ
радіоактивний	ˌradʲiɔɐkˈtɪu̯nei̯
рало	ˈraɫɔ
раса	ˈrasɐ
рація	ˈrat͡sʲijɐ
реабілітація	reɐbʲilʲiˈtat͡sʲijɐ
реанімація	reɐnʲiˈmat͡sʲijɐ
революція	rewoˈlʲut͡sʲijɐ
редактор	reˈdaktɔr
реконструювати	rekɔnstrʊjʊˈʋate
ремісник	remʲisˈnɪk
республіка	reˈspublʲikɐ
рецесія	reˈt͡sɛsʲijɐ
рибка	ˈrɪbkɐ
ринок	ˈrɪnɔk
робітник	rɔbʲitˈnɪk
родзинка	rɔˈd͡zɪnkɐ
родовище	rɔˈdɔʋeʃt͡ʃe
розбирати	rɔzbeˈrate
розважальний	rɔzʋɐˈʒalʲnei̯
розгромити	rɔzɦrɔˈmɪte
роздягти	rɔzʲdʲɐɦˈtɪ
розлити	rɔzˈɫɪte
розмішувати	rozʲˈmʲiʃʊʋɐte
розповсюдження	rɔzpɔu̯ˈsʲud͡ʒenʲːɐ
розпродавати	rɔzprɔdɐˈʋate
розпізнавання	rɔzʲpʲiznɐˈʋanʲːɐ
розслідувати	rozsʲˈlʲidʊʋɐte
розумний дім	roˈzumnei̯ dʲim
розшифровувати	rɔʒʃeˈfrɔwʊʋɐte
ростити	rɔˈstɪte
руйнівний	rʊi̯nʲiu̯ˈnɪi̯
русин	ˈrusen
рутинний	rʊˈtɪnːei̯
рівномірний	rʲiu̯noˈmʲirnei̯
рідкий	rʲidˈkɪi̯
різкий	rʲizˈkɪi̯
різнорідний	rʲiznoˈrʲidnei̯
рішення	ˈrʲiʃenʲːɐ
с	s
саботажник	sɐbɔˈtaʒnek
садистичний	sɐdeˈstɪt͡ʃnei̯
салон	sɐˈɫɔn
самовпевненість	sɐmɔu̯ˈpɛu̯nenʲisʲtʲ
самодостатній	sɐmɔdɔˈstatʲnʲii̯
самокат	sɐmɔˈkat
самостійність	sɐmoˈsʲtʲii̯nʲisʲtʲ
санітарний	sɐnʲiˈtarnei̯
сарна	ˈsarnɐ
сват	sʋat
своєрідний	swɔjeˈrʲidnei̯
священик	sʲʋʲɐʃˈt͡ʃɛnek
свідок	ˈsʲʋʲidɔk
світлина	sʲʋʲitˈɫɪnɐ
секрет	seˈkrɛt
сектор	ˈsɛktɔr
селянський	seˈlʲanʲsʲkei̯
сербохорватський	serbɔxɔrˈʋat͡sʲkei̯
середа	sereˈda
серп	sɛrp
сестрин	seˈstrɪn
сидіти	seˈdʲite
символічний	semwoˈlʲit͡ʃnei̯
синагога	senɐˈɦɔɦɐ
синтетичний	senteˈtɪt͡ʃnei̯
система	seˈstɛmɐ
сказати	skɐˈzate
скасувати	skɐsʊˈʋate
склад	skɫad
склянка	ˈsklʲankɐ
скоротити	skɔrɔˈtɪte
скульптор	ˈskulʲptɔr
слава Ісусу Христу	ˈsɫaʋɐ iˈsusʊ xreˈstu
слина	ˈsɫɪnɐ
словенський	sɫɔˈʋɛnʲsʲkei̯
службовий	sɫʊʒˈbɔʋei̯
сльоза	sʲlʲɔˈza
слідство	ˈsʲlʲid͡zstwɔ
смарагдовий	smɐˈraɦdɔʋei̯
смертний	ˈsmɛrtnei̯
смутний	smʊtˈnɪi̯
сміття	sʲmʲiˈtʲːa
снодійний	snoˈdʲii̯nei̯
сокіл	ˈsɔkʲiɫ
соня	ˈsɔnʲɐ
сорок	ˈsɔrɔk
сорок шість	ˈsɔrɔk ʃʲisʲtʲ
сосна	sɔsˈna
соціальний	sɔt͡sʲiˈalʲnei̯
спам	spam
сперечатися	spereˈt͡ʃatesʲɐ
специфікувати	spet͡sefʲikʊˈʋate
сплатити	spɫɐˈtɪte
сподівання	spɔdʲiˈʋanʲːɐ
спойлер	ˈspɔi̯ɫer
сполучити	spɔɫʊˈt͡ʃɪte
спортсмен	spɔrt͡sˈmɛn
спостереження	spɔsteˈrɛʒenʲːɐ
сприймати	sprei̯ˈmate
спровокувати	sprɔwɔkʊˈʋate
спрямовувати	sprʲɐˈmɔwʊʋɐte
співвітчизник	sʲpʲiʋʲːiˈt͡ʃːɪznek
співпереживати	sʲpʲiu̯pereʒeˈʋate
співчутливий	sʲpʲiu̯t͡ʃʊtˈɫɪʋei̯
співіснувати	sʲpʲiʋʲisnʊˈʋate
спір	sʲpʲir
срати	ˈsrate
ставити	ˈstaʋete
стандартизація	stɐndɐrteˈzat͡sʲijɐ
старик	stɐˈrɪk
статут	stɐˈtut
стежити	ˈstɛʒete
сто	stɔ
стомити	stɔˈmɪte
стояння	stɔˈjanʲːɐ
страйк	strai̯k
страшенно	strɐˈʃɛnːɔ
стримати	ˈstrɪmɐte
студентка	stʊˈdɛntkɐ
стільки	ˈsʲtʲilʲke
субсидія	sʊbˈsɪdʲijɐ
судак	sʊˈdak
судовий	sʊdɔˈʋɪi̯
сумарний	sʊˈmarnei̯
сумувати	sʊmʊˈʋate
супроводжувати	sʊprɔˈwɔd͡ʒʊʋɐte
суспільство	sʊˈsʲpʲilʲstwɔ
сусід	sʊˈsʲid
суцвіття	sʊt͡sʲˈʋʲitʲːɐ
сфера	ˈsfɛrɐ
схвальний	ˈsxʋalʲnei̯
сховище	ˈsxɔʋeʃt͡ʃe
сьогодення	sʲɔɦɔˈdɛnʲːɐ
сім&#039;я	ˈsʲimjɐ
сімдесят шість	sʲimdeˈsʲat ʃʲisʲtʲ
сіни	ˈsʲine
т	t
таблиця	tɐˈbɫɪt͡sʲɐ
таксі	tɐkˈsʲi
тамада	tɐmɐˈda
татко	ˈtatkɔ
твердиня	tʋerˈdɪnʲɐ
текти	tekˈtɪ
телескоп	teɫeˈskɔp
темниця	temˈnɪt͡sʲɐ
теоретик	teɔˈrɛtek
терапевтичний	terɐpeu̯ˈtɪt͡ʃnei̯
термінологія	termʲinɔˈɫɔɦʲijɐ
терор	teˈrɔr
тестування	testʊˈʋanʲːɐ
технологія	texnɔˈɫɔɦʲijɐ
тимчасово	temt͡ʃɐˈsɔwɔ
титар	ˈtɪtɐr
тлумач	tɫʊˈmat͡ʃ
товаришка	tɔˈʋareʃkɐ
токар	ˈtɔkɐr
топір	toˈpʲir
торкати	tɔrˈkate
точка зору	ˈtɔt͡ʃkɐ ˈzɔrʊ
трав&#039;яний	trɐʋjɐˈnɪi̯
традиційний	trɐdeˈt͡sʲii̯nei̯
трансплантація	trɐnspɫɐnˈtat͡sʲijɐ
треба	ˈtrɛbɐ
три	trɪ
тридцятий	tred͡zʲˈt͡sʲatei̯
тридцять сім	ˈtrɪd͡zʲt͡sʲɐtʲ sʲim
трирічний	treˈrʲit͡ʃnei̯
труп	trup
труїти	trʊˈjite
туз	tuz
туризм	tʊˈrɪzm
туфля	ˈtuflʲɐ
тяжкий	tʲɐʒˈkɪi̯
тітка	ˈtʲitkɐ
ув&#039;язнення	ʊˈʋjaznenʲːɐ
угода	ʊˈɦɔdɐ
узаконювати	ʊzɐˈkɔnʲʊʋɐte
українець	ʊkrɐˈjinet͡sʲ
українською	ʊkrɐˈjinʲsʲkɔjʊ
умерти	ʊˈmɛrte
універсальний	ʊnʲiʋerˈsalʲnei̯
уособити	ʊɔˈsɔbete
упорядковувати	ʊpɔrʲɐdˈkɔwʊʋɐte
урбанізувати	ʊrbɐnʲizʊˈʋate
усе	ˈuse
уста	ʊˈsta
утворення	ʊtˈwɔrenʲːɐ
ухвала	ʊxˈʋaɫɐ
учителька	ʊˈt͡ʃɪtelʲkɐ
файний	ˈfai̯nei̯
фанатизм	fɐnɐˈtɪzm
фарфор	ˈfarˈfɔr
федерація	fedeˈrat͡sʲijɐ
ферзь	fɛrzʲ
фонд	fɔnd
фортеця	fɔrˈtɛt͡sʲɐ
фрагмент	frɐɦˈmɛnt
фруктовий сік	frʊkˈtɔʋei̯ sʲik
фюзеляж	fʲʊzeˈlʲaʒ
фізіолог	fʲizʲiˈɔɫɔɦ
філологічний	fʲiɫɔɫoˈɦʲit͡ʃnei̯
фінський ніж	ˈfʲinʲsʲkei̯ ˈniʒ
фінік	ˈfʲinʲik
хабар	xɐˈbar
характерний	xɐrɐkˈtɛrnei̯
хворіти	xwoˈrʲite
хвіст	xʋʲist
хліб	xlʲib
холоднокровний	xɔɫɔdnɔˈkrɔu̯nei̯
хотітися	xoˈtʲitesʲɐ
християнин	xresteˈjanen
хтивий	ˈxtɪʋei̯
хуйло	xʊi̯ˈɫɔ
цвіль	ˈt͡sʋilʲ
целакант	t͡seɫɐˈkant
церемоніальний	t͡seremɔnʲiˈalʲnei̯
цигарка	t͡seˈɦarkɐ
цифра	ˈt͡sɪfrɐ
цуценя	t͡sʊt͡seˈnʲa
цілісність	ˈt͡sʲilʲisʲnʲisʲtʲ
цінність	ˈt͡sʲinʲːisʲtʲ
чад	t͡ʃad
чародій	t͡ʃɐroˈdʲii̯
часто	ˈt͡ʃastɔ
чемний	ˈt͡ʃɛmnei̯
червневий	t͡ʃerwˈnɛʋei̯
черепаха	t͡ʃereˈpaxɐ
чесний	ˈt͡ʃɛsnei̯
чин	t͡ʃɪn
численний	t͡ʃesˈɫɛnːei̯
член	t͡ʃɫɛn
чоловічий рід	t͡ʃɔɫɔˈʋʲit͡ʃei̯ ˈrid
чорнобривий	t͡ʃɔrnɔˈbrɪʋei̯
чорт забирай	t͡ʃɔrt zɐbeˈrai̯
чудій	t͡ʃʊˈdʲii̯
чума	t͡ʃʊˈma
шантаж	ʃɐnˈtaʒ
шахівниця	ʃɐxʲiu̯ˈnɪt͡sʲɐ
швейцарський	ʃʋei̯ˈt͡sarsʲkei̯
шено	ˈʃɛnɔ
шестиповерховий	ʃestepɔʋerˈxɔʋei̯
широкосмуговий	ʃerɔkɔsmʊɦɔˈʋɪi̯
шкода	ˈʃkɔdɐ
шлях	ʃlʲax
шовковистий	ʃɔu̯kɔˈʋɪstei̯
шопінг	ˈʃɔpʲinɦ
штрафувати	ʃtrɐfʊˈʋate
шістдесят	ʃʲizdeˈsʲat
шістдесятий	ʃʲizdeˈsʲatei̯
щелепа	ˈʃt͡ʃɛɫepɐ
що	ʃt͡ʃɔ
щока	ʃt͡ʃɔˈka
щука	ˈʃt͡ʃukɐ
щі	ʃt͡ʃʲi
юшка	ˈjuʃkɐ
яблуко розбрату	ˈjabɫʊkɔ ˈrɔzbrɐtʊ
ядерна війна	ˈjadernɐ ʋʲii̯ˈna
як тільки	jak ˈtʲilʲke
якийсь	jɐˈkɪi̯sʲ
яничар	jɐneˈt͡ʃar
ярус	ˈjarʊs
ящик	ˈjaʃt͡ʃek
є	jɛ
єврейка	jeu̯ˈrɛi̯kɐ
єдваб	jedˈʋab
єр	jɛr
ігролад	iɦrɔˈɫad
ідеалістичний	ideɐlʲiˈstɪt͡ʃnei̯
ізгинути	izˈɦɪnʊte
імбирний	imˈbɪrnei̯
імператриця	imperɐˈtrɪt͡sʲɐ
імунізувати	imʊnʲizʊˈʋate
інавгурація	inɐu̯ɦʊˈrat͡sʲijɐ
індивідуально	indeʋʲidʊˈalʲnɔ
індійка	inʲˈdʲii̯kɐ
інженер	inʒeˈnɛr
інновація	inːɔˈʋat͡sʲijɐ
інспекція	inˈspɛkt͡sʲijɐ
інтегрувати	inteɦrʊˈʋate
інтенсивність	intenˈsɪu̯nʲisʲtʲ
інтермецо	interˈmɛt͡sɔ
інфекційний	infekˈt͡sʲii̯nei̯
інцидент	int͡seˈdɛnt
ірландець	irˈɫandet͡sʲ
ісландець	isˈɫandet͡sʲ
істеричний	isteˈrɪt͡ʃnei̯
італійка	itɐˈlʲii̯kɐ
їден	jiˈdɛn
їсти	ˈjiste
ґвалт	ɡʋaɫt
ґерлиґа	ɡerˈɫɪɡɐ
ґоґель-моґель	ˈɡɔɡelʲ ˈmɔɡelʲ
ґудзик	ˈɡud͡zek
