-ahtaa	-ɑhtɑːˣ
ilmatorjunta-ase	ˈilmɑˌtorjuntɑˌ(ʔ)ɑseˣ
ilmatähystys	ˈilmɑˌtæhystys
ilmavoitto	ˈilmɑˌʋoi̯tːo
ilmeneminen	ˈilmeneminen
ilmi	ˈilmi
ilmisota	ˈilmiˌsotɑ
ilmoittaa	ˈilmoi̯tːɑːˣ
ilmoituslehti	ˈilmoi̯tusˌlehti
ilmoitusvelvollinen	ˈilmoi̯tusˌʋelʋolːinen
ilokaasu	ˈiloˌkɑːsu
ilonaihe	ˈilonˌɑi̯heˣ
ilouutinen	ˈiloˌuːtinen
iltahuuto	ˈiltɑˌhuːto
iltakaksitoista	ˈiltɑˌkɑksiˌtoi̯stɑ
iltakävely	ˈiltɑˌkæʋely
iltamyöhäinen	ˈiltɑˌmyø̯hæi̯nen
iltapimeä	ˈiltɑˌpimeæ
iltapäiväruuhka	ˈiltɑˌpæi̯ʋæˌruːhkɑ
iltatori	ˈiltɑˌtori
iltavoimistelu	ˈiltɑˌʋoi̯mistelu
imaami	ˈimɑːmi
imarrella	ˈimɑrːelːɑˣ
imelyys	ˈimelyːs
imeskely	ˈimeskely
imeytyminen	ˈimey̯tyminen
immanentti	ˈimːɑnentːi
immunokemia	ˈimːunoˌkemiɑ
immuunivälitteinen	ˈimːuːniˌʋælitːei̯nen
impivaaralaisuus	ˈimpiˌʋɑːrɑlɑi̯suːs
impregnointi	ˈimpreɡnoi̯nti
imputaatio	ˈimputɑːtio
imukeräily	ˈimuˌkeræi̯ly
imupumppu	ˈimuˌpumpːu
imusuonipunos	ˈimuˌsuo̯niˌpunos
inarinsaamelainen	ˈinɑrinˌsɑːmelɑi̯nen
indifferenssi	ˈindifːerensːi
indispositiivinen	ˈindispositiːʋinen
induktiovirta	ˈinduktioˌʋirtɑ
inessä	ˈinesːæ
infinitiivi	ˈinfinitiːʋi
info	ˈinf(ː)o
informaatiopalvelu	ˈinformɑːtioˌpɑlʋelu
informaatiovaikuttaminen	ˈinformɑːtioˌʋɑi̯kutːɑminen
infra	ˈinfrɑ
ingressi	ˈiŋresːi
inhiminen	ˈinhiminen
injektoiminen	ˈinjektoi̯minen
inkerinsuomalainen	ˈiŋkerinˌsuo̯mɑlɑi̯nen
inkongruenssi	ˈiŋkoŋruensːi
inkvisitio	ˈin.kʋisitio
innostuneesti	ˈinːostuneːstiˣ
innovointi	ˈinːoʋoi̯nti
insinööriupseeri	ˈinsinøːriˌupseːri
institutionaalistuminen	ˈinstitutionɑːlistuminen
instrumentaaliryhmä	ˈinstrumentɑːliˌryhmæ
insuliiniruiske	ˈinsuliːniˌrui̯skeˣ
integriteetti	ˈinteɡriteːtːi
intelligentti	ˈintelːiɡentːi
interferoni	ˈinterferoni
internetpuhelin	ˈinternetˌpuhelin
intersektionaalinen	ˈinterˌsektionɑːlinen
intiaanisota	ˈintiɑːniˌsotɑ
intohimottomuus	ˈintoˌhimotːomuːs
intressiryhmä	ˈintresːiˌryhmæ
inttäminen	ˈintːæminen
invalidihissi	ˈinʋɑlidiˌhisːi
inventio	ˈinʋentio
investointitalletus	ˈinʋestoi̯ntiˌtɑlːetus
ionipumppu	ˈioniˌpumpːu
irkata	ˈirkɑtɑˣ
irrallisuus	ˈirːɑlːisuːs
irrokepaperi	ˈirːokeˣˌpɑperi
irsokki	ˈirsokːi
irti	ˈirtiˣ
irto-	ˈirto-
irtokaulus	ˈirtoˌkɑu̯lus
irtoliite	ˈirtoˌliːteˣ
irtonaisuus	ˈirtonɑi̯suːs
irtoripset	ˈirtoˌripset
irtotukka	ˈirtoˌtukːɑ
irvileuka	ˈirʋiˌleu̯kɑ
isentalpinen	ˈisentɑlpinen
iskemä	ˈiskemæ
iskullinen	ˈiskulːinen
iskurityöläinen	ˈiskuriˌtyø̯læi̯nen
iskuvasara	ˈiskuˌʋɑsɑrɑ
isoaivokuori	ˈisoˌɑi̯ʋoˌkuo̯ri
isoinen	ˈisoi̯nen
isokyröläinen	ˈisoˌkyrølæi̯nen
isomeeri	ˈisomeːri
isontaa	ˈisontɑːˣ
isorytminen	ˈisoˌrytminen
isosuinen	ˈisoˌsui̯nen
isotooppikello	ˈisotoːpːiˌkelːo
isovarvas	ˈisoˌʋɑrʋɑs
isoääninen	ˈisoˌæːninen
istua	ˈistuɑˣ
istuinkartta	ˈistui̯nˌkɑrtːɑ
istukallinen	ˈistukɑlːinen
istumaannousu	ˈistumɑːnˌnou̯su
istuntosali	ˈistuntoˌsɑli
istutusmetsä	ˈistutusˌmetsæ
istuviltaan	ˈistuʋiltɑːn
isänisä	ˈisænˌisæ
isännöitsijäntodistus	ˈisænːøi̯tsijænˌtodistus
isäntärenki	ˈisæntæˌreŋki
italialaisnainen	ˈitɑliɑlɑi̯sˌnɑi̯nen
itiö	ˈitiø
itkeä	ˈitkeæˣ
itkupilli	ˈitkuˌpilːi
itsearvostus	ˈitseˌɑrʋostus
itsehavainnointi	ˈitseˌhɑʋɑi̯nːoi̯nti
itseinho	ˈitseˌinho
itsekehu	ˈitseˌkehu
itsekorostus	ˈitseˌkorostus
itseliimautuva	ˈitseˌliːmɑu̯tuʋɑ
itsemurhahyökkäys	ˈitseˌmurhɑˌhyø̯kːæys
itsemurhayritys	ˈitseˌmurhɑˌyritys
itsenäistäminen	ˈitsenæi̯stæminen
itseohjautuva	ˈitseˌohjɑu̯tuʋɑ
itsepalveluhuoltamo	ˈitseˌpɑlʋeluˌhuo̯ltɑmo
itsepintaisesti	ˈitseˌpintɑi̯sestiˣ
itserakas	ˈitseˌrɑkɑs
itsesensuuri	ˈitseˌsensuːri
itsesuojelu	ˈitseˌsuo̯jelu
itsesääntely	ˈitseˌsæːntely
itsetiedoton	ˈitseˌtie̯doton
itsetuhokäyttäytyminen	ˈitseˌtuhoˌkæy̯tːæy̯tyminen
itsetärkeys	ˈitseˌtærkeys
itsevarma	ˈitseˌʋɑrmɑ
itusilmu	ˈituˌsilmu
itämaa	ˈitæˌmɑː
itäpuolinen	ˈitæˌpuo̯linen
itätaivas	ˈitæˌtɑi̯ʋɑs
ivaaminen	ˈiʋɑːminen
iäisyysajatus	ˈiæi̯syːsˌɑjɑtus
iätön	ˈiætøn
jahkailla	ˈjɑhkɑi̯lːɑˣ
jakaa oman käden oikeutta	ˈjɑkɑːˣ ˈomɑn ˈkæden ˈoi̯keutːɑ
jakelin	ˈjɑkelin
jakelupaikka	ˈjɑkeluˌpɑi̯kːɑ
jako	ˈjɑko
jakokunta	ˈjɑkoˌkuntɑ
jakosuodin	ˈjɑkoˌsuo̯din
jaksamaton	ˈjɑksɑmɑton
jaksoluku	ˈjɑksoˌluku
jalansija	ˈjɑlɑnˌsijɑ
jalka	ˈjɑlkɑ
jalkakylpy	ˈjɑlkɑˌkylpy
jalkapallofani	ˈjɑlkɑˌpɑlːoˌfɑni
jalkapumppu	ˈjɑlkɑˌpumpːu
jalkaterä	ˈjɑlkɑˌteræ
jalkavaivainen	ˈjɑlkɑˌʋɑi̯ʋɑi̯nen
jalkine	ˈjɑlkineˣ
jallittaminen	ˈjɑlːitːɑminen
jaloittelu	ˈjɑloi̯tːelu
jaloluonteinen	ˈjɑloˌluo̯ntei̯nen
jalopeura	ˈjɑloˌpeu̯rɑ
jaloste	ˈjɑlosteˣ
jalosydämisyys	ˈjɑloˌsydæm(ː)isyːs
jama	ˈjɑmɑ
jankkaus	ˈjɑŋkːɑus
janoinen	ˈjɑnoi̯nen
jaokkeinen	ˈjɑokːei̯nen
japanilaismies	ˈjɑpɑnilɑi̯sˌmie̯s
japsi	ˈjɑpsi
jarrupoljin	ˈjɑrːuˌpoljin
jarrutuspolitiikka	ˈjɑrːutusˌpolitiːkːɑ
jatkaa	ˈjɑtkɑːˣ
jatkojalostaa	ˈjɑtkoˌjɑlostɑːˣ
jatkolevy	ˈjɑtkoˌleʋy
jatkua	ˈjɑtkuɑˣ
jatsari	ˈjɑtsɑri
jauhattaminen	ˈjɑu̯hɑtːɑminen
jauhettu	ˈjɑu̯hetːu
jauhonpöly	ˈjɑu̯honˌpøly
jauhovelli	ˈjɑu̯hoˌʋelːi
jeesustelija	ˈjeːsustelijɑ
jenginuori	ˈjeŋːiˌnuo̯ri
jenkkifutis	ˈjeŋkːiˌfutis
jenni	ˈjenːi
jersey	ˈdʒøːzi
jesuiittaveljestö	ˈjesui̯ːtːɑˌʋeljestø
jii	ˈjiː
jobinposti	ˈjobinˌposti
jodlaus	ˈjodlɑus
joglisiinihappo	ˈjoɡlisiːniˌhɑpːo
johdannaismarkkinat	ˈjohdɑnːɑi̯sˌmɑrkːinɑt
johdatteleva	ˈjohdɑtːeleʋɑ
johdonsuojakatkaisija	ˈjohdonˌsuo̯jɑˌkɑtkɑi̯sijɑ
johtajantauti	ˈjohtɑjɑnˌtɑu̯ti
johtamissopimus	ˈjohtɑmisˌsopimus
johtohenkilö	ˈjohtoˌheŋkilø
johtopääte	ˈjohtoˌpæːteˣ
johtoteema	ˈjohtoˌteːmɑ
jojo	ˈjojo
jokakesäinen	ˈjokɑˌkesæi̯nen
jokarmihappo	ˈjokɑrmiˌhɑpːo
jokeri	ˈjokeri
jokikala	ˈjokiˌkɑlɑ
jokin	ˈjokin
jokisuu	ˈjokiˌsuː
jokseenkin	ˈjokseːŋkin
jollei	ˈjolːei̯
jommoinen	ˈjomːoi̯nen
jonottaa	ˈjonotːɑːˣ
joogi	ˈjoːɡi
joraus	ˈjorɑus
jorpakko	ˈjorpɑkːo
jossitella	ˈjosːitelːɑˣ
jotroksihappo	ˈjotroksiˌhɑpːo
jouhevuus	ˈjou̯heʋuːs
jouhivihvilä	ˈjou̯hiˌʋihʋilæ
joukkoeroaminen	ˈjou̯kːoˌeroɑminen
joukkojakelu	ˈjou̯kːoˌjɑkelu
joukkoliikenneväline	ˈjou̯kːoˌliːkenːeˣˌʋælineˣ
joukkosielu	ˈjou̯kːoˌsie̯lu
joukkotoiminta	ˈjou̯kːoˌtoi̯mintɑ
joukkoyksikkö	ˈjou̯kːoˌyksikːø
joukkuemäkihyppy	ˈjou̯kːueˣˌmækiˌhypːy
jouluevankeliumi	ˈjou̯luˌeʋɑŋkeliu̯mi
joulukalkkuna	ˈjou̯luˌkɑlkːunɑ
joulukynttilä	ˈjou̯luˌkyntːilæ
joulumielinen	ˈjou̯luˌmie̯linen
jouluostos	ˈjou̯luˌostos
jouluruno	ˈjou̯luˌruno
jouluvalmistelut	ˈjou̯luˌʋɑlmistelut
jousihaka	ˈjou̯siˌhɑkɑ
jousisto	ˈjou̯sisto
joustava	ˈjou̯stɑʋɑ
joustolanka	ˈjou̯stoˌlɑŋkɑ
jouten	ˈjou̯ten
joutomies	ˈjou̯toˌmie̯s
joutsi	ˈjou̯tsi
juhannus	ˈjuhɑnːus
juhlahumu	ˈjuhlɑˌhumu
juhlakunto	ˈjuhlɑˌkunto
juhlanäytäntö	ˈjuhlɑˌnæy̯tæntø
juhlatilaisuus	ˈjuhlɑˌtilɑi̯suːs
juhlavieras	ˈjuhlɑˌʋie̯rɑs
juju	ˈjuju
julkaisu	ˈjulkɑi̯su
julkaisutieto	ˈjulkɑi̯suˌtie̯to
julkiset	ˈjulkiset
julkisuuskuva	ˈjulkisuːsˌkuʋɑ
jumbokoko	ˈjumboˌkoko
juna-asema	ˈjunɑˌ(ʔ)ɑsemɑ
junktuuri	ˈjuŋktuːri
juoda	ˈjuo̯dɑˣ
juoksukalja	ˈjuo̯ksuˌkɑljɑ
juoksuttaminen	ˈjuo̯ksutːɑminen
juomakuppi	ˈjuo̯mɑˌkupːi
juoni	ˈjuo̯ni
juoppokööri	ˈjuo̯pːoˌkøːri
juote	ˈjuo̯teˣ
juovahyeena	ˈjuo̯ʋɑˌhyeːnɑ
jurosti	ˈjurostiˣ
juudaksenkorva	ˈjuːdɑksenˌkorʋɑ
juures	ˈjuːres
juurihuntu	ˈjuːriˌhuntu
juurileipä	ˈjuːriˌlei̯pæ
juuripaikka	ˈjuːriˌpɑi̯kːɑ
juurruttaa	ˈjuːrːutːɑːˣ
juustokastike	ˈjuːstoˌkɑstikeˣ
juustoteollisuus	ˈjuːstoˌteolːisuːs
jykevä	ˈjykeʋæ
jymy-yllätys	ˈjymyˌ(ʔ)ylːætys
jymäys	ˈjymæys
jyrketä	ˈjyrketæˣ
jyrkkärinteinen	ˈjyrkːæˌrintei̯nen
jyrsiä	ˈjyrsiæˣ
jyskyttää	ˈjyskytːæːˣ
jytkyttäminen	ˈjytkytːæminen
jyvänen	ˈjyʋænen
jäkittää	ˈjækitːæːˣ
jäljestää	ˈjæljestæːˣ
jälki	ˈjælki
jälkimarkkinat	ˈjælkiˌmɑrkːinɑt
jälkiselostus	ˈjælkiˌselostus
jälkivarmistus	ˈjælkiˌʋɑrmistus
jälleenrakentaminen	ˈjælːeːnˌrɑkentɑminen
jämtti	ˈjæmtːi
jänkkä	ˈjæŋkːæ
jännitepiikki	ˈjænːiteˣˌpiːkːi
jännittävä	ˈjænːitːæʋæ
jännäri	ˈjænːæri
jäntevöityä	ˈjænteʋøi̯tyæˣ
järeästi	ˈjæreæstiˣ
järjestelmä	ˈjærjestelmæ
järjestelmäveikkaus	ˈjærjestelmæˌʋei̯kːɑus
järjestelyvara	ˈjærjestelyˌʋɑrɑ
järjestynyt	ˈjærjestynyt
järjestysteoria	ˈjærjestysˌteoriɑ
järjestää	ˈjærjestæːˣ
järjestöneuvos	ˈjærjestøˌneu̯ʋos
järkevyys	ˈjærkeʋyːs
järkiperäisesti	ˈjærkiˌperæi̯sestiˣ
järkkäri	ˈjærkːæri
järkähtämätön	ˈjærkæhtæmætøn
järvenpinta	ˈjærʋenˌpintɑ
järviristeily	ˈjærʋiˌristei̯ly
jäsenteleminen	ˈjæsenteleminen
jäte	ˈjæteˣ
jätekatos	ˈjæteˣˌkɑtos
jätemaksu	ˈjæteˣˌmɑksu
jätevarasto	ˈjæteˣˌʋɑrɑsto
jätkänkynttilä	ˈjætkænˌkyntːilæ
jättiläinen	ˈjætːilæi̯nen
jättää	ˈjætːæːˣ
jäykentää	ˈjæy̯kentæːˣ
jäykkäluonteinen	ˈjæy̯kːæˌluo̯ntei̯nen
jäädyke	ˈjæːdykeˣ
jääeste	ˈjæːˌesteˣ
jäähile	ˈjæːˌhileˣ
jääkalikka	ˈjæːˌkɑlikːɑ
jääkiekkoilu	ˈjæːˌkie̯kːoi̯lu
jäälauta	ˈjæːˌlɑu̯tɑ
jäämurtaja	ˈjæːˌmurtɑjɑ
jäännöslopuke	ˈjæːnːøsˌlopukeˣ
jääpalapihdit	ˈjæːˌpɑlɑˌpihdit
jääpyynti	ˈjæːˌpyːnti
jääsalaatti	ˈjæːˌsɑlɑːtːi
jäätanssi	ˈjæːˌtɑnsːi
jäätelötötterö	ˈjæːteløˌtøtːerø
jääurheilu	ˈjæːˌurhei̯lu
jäävuori	ˈjæːˌʋuo̯ri
jötikkä	ˈjøtikːæ
kaaderipuolue	ˈkɑːderiˌpuo̯lueˣ
kaakeli	ˈkɑːkeli
kaakki	ˈkɑːkːi
kaalamo	ˈkɑːlɑmo
kaalipieru	ˈkɑːliˌpie̯ru
kaanaankieli	ˈkɑːnɑːnˌkie̯li
kaapelikela	ˈkɑːpeliˌkelɑ
kaapelivälitteinen	ˈkɑːpeliʋˌælitːei̯nen
kaappailu	ˈkɑːpːɑi̯lu
kaappinatsi	ˈkɑːpːiˌnɑtsi
kaareutua	ˈkɑːreu̯tuɑˣ
kaarikatto	ˈkɑːriˌkɑtːo
kaarisekunti	ˈkɑːriˌsekunt(ː)i
kaarna	ˈkɑːrnɑ
kaartaminen	ˈkɑːrtɑminen
kaasu	ˈkɑːsu
kaasuhella	ˈkɑːsuˌhelːɑ
kaasukenttä	ˈkɑːsuˌkentːæ
kaasulämmitin	ˈkɑːsuˌlæmːitin
kaasunpoisto	ˈkɑːsunˌpoi̯sto
kaasusumu	ˈkɑːsuˌsumu
kaasutinmoottori	ˈkɑːsutinˌmoːtːori
kaasuvalo	ˈkɑːsuˌʋɑlo
kaateleminen	ˈkɑːteleminen
kaatoryhmä	ˈkɑːtoˌryhmæ
kaavamaisesti	ˈkɑːʋɑmɑi̯sestiˣ
kaavata	ˈkɑːʋɑtɑˣ
kaavinta	ˈkɑːʋintɑ
kaavoitusmenettely	ˈkɑːʋoi̯tusˌmenetːely
kabotaasi	ˈkɑbotɑːsi
kademielisyys	ˈkɑdeˣˌmie̯lisyːs
kadottaminen	ˈkɑdotːɑminen
kadunvarsi	ˈkɑdunˌʋɑrsi
kahakoida	ˈkɑhɑkoi̯dɑˣ
kahdeksankymmentä	ˈkɑhdeksɑnˌkymːentæ
kahdeksasti	ˈkɑhdeksɑstiˣ
kahdes	ˈkɑhdes
kahlaus	ˈkɑhlɑus
kahluuhousut	ˈkɑhluːˌhou̯sut
kahtaissara	ˈkɑhtɑi̯sˌsɑrɑ
kahu	ˈkɑhu
kahviaamiainen	ˈkɑhʋiˌɑːmiɑi̯nen
kahvikannu	ˈkɑhʋiˌkɑnːu
kahvikuppi	ˈkɑhʋiˌkupːi
kahvinpaahdin	ˈkɑhʋinˌpɑːhdin
kahvipöytä	ˈkɑhʋiˌpøy̯tæ
kahviviljelmä	ˈkɑhʋiˌʋiljelmæ
kaihilasit	ˈkɑi̯hiˌlɑsit
kaikaa	ˈkɑi̯kɑːˣ
kaikenmoinen	ˈkɑi̯kenmoi̯nen
kaikitenkin	ˈkɑi̯kiteŋkin
kaikkineen	ˈkɑi̯kːineːn
kaikukuvaus	ˈkɑi̯kuˌkuʋɑus
kailotus	ˈkɑi̯lotus
kaino	ˈkɑi̯no
kaipaaminen	ˈkɑi̯pɑːminen
kairapalmu	ˈkɑi̯rɑˌpɑlmu
kaista	ˈkɑi̯stɑ
kaistaviiva	ˈkɑi̯stɑˌʋiːʋɑ
kaitanokkalokki	ˈkɑi̯tɑˌnokːɑˌlokːi
kaiuttaa	ˈkɑi̯utːɑːˣ
kaivausdokumentointi	ˈkɑi̯ʋɑusˌdokumentoi̯nti
kaiverruskoristelu	ˈkɑi̯ʋerːusˌkoristelu
kaivoskaasu	ˈkɑi̯ʋosˌkɑːsu
kaivosyhtiö	ˈkɑi̯ʋosˌyhtiø
kajahdella	ˈkɑjɑhdelːɑˣ
kajakoida	ˈkɑjɑkoi̯dɑˣ
kajentaa	ˈkɑjentɑːˣ
kaki	ˈkɑki
kakki	ˈkɑkːi
kakkosketju	ˈkɑkːosˌketju
kakkuotin	ˈkɑkːuˌotin
kaksihaaraviuhko	ˈkɑksiˌhɑːrɑˌʋiu̯hko
kaksikielinen	ˈkɑksiˌkie̯linen
kaksikäsitteinen	ˈkɑksiˌkæsitːei̯nen
kaksiminuuttinen	ˈkɑksiˌminuːtːinen
kaksinapaisesti	ˈkɑksiˌnɑpɑi̯sestiˣ
kaksinpuhelu	ˈkɑksinˌpuhelu
kaksipuoluemaa	ˈkɑksiˌpuo̯lueˣˌmɑː
kaksisukuinen	ˈkɑksiˌsukui̯nen
kaksitoiminen	ˈkɑksiˌtoi̯minen
kaksiulotteisesti	ˈkɑksiˌulotːei̯sestiˣ
kaksiymmärteinen	ˈkɑksiˌymːærtei̯nen
kaksoishyppy	ˈkɑksoi̯sˌhypːy
kaksoiskovera	ˈkɑksoi̯sˌkoʋerɑ
kaksoisnappi	ˈkɑksoi̯sˌnɑpːi
kaksoisrattaat	ˈkɑksoi̯sˌrɑtːɑːt
kaksoisvee	ˈkɑksoi̯sˌʋeː
kaksoslapsi	ˈkɑksosˌlɑpsi
kaktus	ˈkɑktus
kalafilee	ˈkɑlɑˌfileː
kalainen	ˈkɑlɑi̯nen
kalakauppa	ˈkɑlɑˌkɑu̯pːɑ
kalalammikko	ˈkɑlɑˌlɑmːikːo
kalamureke	ˈkɑlɑˌmurekeˣ
kalanmäti	ˈkɑlɑnˌmæti
kalansavustamo	ˈkɑlɑnˌsɑʋustɑmo
kalapatsas	ˈkɑlɑˌpɑtsɑs
kalasaalis	ˈkɑlɑˌsɑːlis
kalastavuus	ˈkɑlɑstɑʋuːs
kalastusmatkailu	ˈkɑlɑstusˌmɑtkɑi̯lu
kalasumppu	ˈkɑlɑˌsumpːu
kalatauti	ˈkɑlɑˌtɑu̯ti
kalavalmiste	ˈkɑlɑˌʋɑlmisteˣ
kalenterinimi	ˈkɑlenteriˌnimi
kalin	ˈkɑlin
kaliumoksidi	ˈkɑliumˌoksidi
kaljavelli	ˈkɑljɑˌʋelːi
kalkatus	ˈkɑlkɑtus
kalkkaro	ˈkɑlkːɑro
kalkkilaiva	ˈkɑlkːiˌlɑi̯ʋɑ
kalkkis	ˈkɑlkːis
kalkkunanliha	ˈkɑlkːunɑnˌlihɑ
kallas	ˈkɑlːɑs
kalliisti	ˈkɑlːiːstiˣ
kalliokasvi	ˈkɑlːioˌkɑsʋi
kallioluola	ˈkɑlːioˌluo̯lɑ
kallionlohkare	ˈkɑlːionˌlohkɑreˣ
kallioranta	ˈkɑlːioˌrɑntɑ
kallis	ˈkɑlːis
kallistusmittari	ˈkɑlːistusˌmitːɑri
kallovamma	ˈkɑlːoˌʋɑmːɑ
kalmo	ˈkɑlmo
kalossi	ˈkɑlosːi
kalpeakasvoinen	ˈkɑlpeɑˌkɑsʋoi̯nen
kalseasti	ˈkɑlseɑstiˣ
kalsu	ˈkɑlsu
kalttaaminen	ˈkɑltːɑːminen
kalusteteollisuus	ˈkɑlusteˣˌteolːisuːs
kaluunanauha	ˈkɑluːnɑˌnɑu̯hɑ
kalveta	ˈkɑlʋetɑˣ
kalvopumppu	ˈkɑlʋoˌpumpːu
kamarikuoro	ˈkɑmɑriˌkuo̯ro
kamariyhtye	ˈkɑmɑriˌyhtyeˣ
kamelinkarvaulsteri	ˈkɑmelinˌkɑrʋɑˌulsteri
kameratarkkailu	ˈkɑmerɑˌtɑrkːɑi̯lu
kammiovesi	ˈkɑmːioˌʋesi
kampaajamestari	ˈkɑmpɑːjɑˌmestɑri
kampanjointi	ˈkɑmp(ː)ɑnjoi̯nti
kampeaminen	ˈkɑmpeɑminen
kamppailu-urheilija	ˈkɑmpːɑi̯luˌ(ʔ)urhei̯lijɑ
kampusalue	ˈkɑmpusˌɑlueˣ
kanadanmajava	ˈkɑnɑdɑnˌmɑjɑʋɑ
kanakolera	ˈkɑnɑˌkolerɑ
kanamaisesti	ˈkɑnɑmɑi̯sestiˣ
kananpaisti	ˈkɑnɑnˌpɑi̯sti
kanariankeltainen	ˈkɑnɑriɑnˌkeltɑi̯nen
kanasta	ˈkɑnɑstɑ
kanavanippu	ˈkɑnɑʋɑˌnipːu
kanavaverkko	ˈkɑnɑʋɑˌʋerkːo
kanelikierre	ˈkɑneliˌkie̯rːeˣ
kanervakäärme	ˈkɑnerʋɑˌkæːrmeˣ
kangashumus	ˈkɑŋːɑsˌhumus
kangasliike	ˈkɑŋːɑsˌliːkeˣ
kangaspäällys	ˈkɑŋːɑsˌpæːlːys
kangasteollisuus	ˈkɑŋːɑsˌteolːisuːs
kangeta	ˈkɑŋːetɑˣ
kanittaminen	ˈkɑnitːɑminen
kankea	ˈkɑŋkeɑ
kanna	ˈkɑnːɑ
kannanmääritys	ˈkɑnːɑnˌmæːritys
kannattaa	ˈkɑnːɑtːɑːˣ
kannatusmaksu	ˈkɑnːɑtusˌmɑksu
kanneltaja	ˈkɑnːeltɑjɑ
kannonnosto	ˈkɑnːonˌnosto
kannuslainen	ˈkɑnːuslɑi̯nen
kannustinkarttuma	ˈkɑnːustinˌkɑrtːumɑ
kansainvälinen	ˈkɑnsɑi̯nˌʋælinen
kansalainen	ˈkɑnsɑlɑi̯nen
kansalaiskunto	ˈkɑnsɑlɑi̯sˌkunto
kansalaispiiri	ˈkɑnsɑlɑi̯sˌpiːri
kansalaisuuslaki	ˈkɑnsɑlɑi̯suːsˌlɑki
kansallisuuskysymys	ˈkɑnsɑlːisuːsˌkysymys
kansaneläkejärjestelmä	ˈkɑnsɑnˌelækeˣˌjærjestelmæ
kansanhuvi	ˈkɑnsɑnˌhuʋi
kansankiihotus	ˈkɑnsɑnˌkiːhotus
kansanlaulu	ˈkɑnsɑnˌlɑu̯lu
kansanmurre	ˈkɑnsɑnˌmurːeˣ
kansanomaisuus	ˈkɑnsɑnˌomɑi̯suːs
kansanperinteentutkimus	ˈkɑnsɑnˌperinteːnˌtutkimus
kansanryhmä	ˈkɑnsɑnˌryhmæ
kansansävelmä	ˈkɑnsɑnˌsæʋelmæ
kansantaloustieteilijä	ˈkɑnsɑnˌtɑlousˌtie̯tei̯lijæ
kansantuote	ˈkɑnsɑnˌtuo̯teˣ
kansanvaltaisuus	ˈkɑnsɑnˌʋɑltɑi̯suːs
kansialanimeke	ˈkɑnsiˌɑlɑˌnimekeˣ
kansipaikka	ˈkɑnsiˌpɑi̯kːɑ
kansliahenkilökunta	ˈkɑnsliɑˌheŋkiløˌkuntɑ
kanssaeläjä	ˈkɑnsːɑˌelæjæ
kantaitiö	ˈkɑntɑˌitiø
kantakirjalehmä	ˈkɑntɑˌkirjɑˌlehmæ
kantamaton	ˈkɑntɑmɑton
kantapohja	ˈkɑntɑˌpohjɑ
kantasuomalainen	ˈkɑntɑˌsuo̯mɑlɑi̯nen
kantaäiti	ˈkɑntɑˌæi̯ti
kantio	ˈkɑntio
kantokahva	ˈkɑntoˌkɑhʋɑ
kantokykyluokka	ˈkɑntoˌkykyˌluo̯kːɑ
kantopinta	ˈkɑntoˌpintɑ
kantosieni	ˈkɑntoˌsie̯ni
kanttaus	ˈkɑntːɑus
kaoottisesti	ˈkɑoːtːisestiˣ
kapaloiminen	ˈkɑpɑloi̯minen
kapeaharteinen	ˈkɑpeɑˌhɑrtei̯nen
kapearunkoinen	ˈkɑpeɑˌruŋkoi̯nen
kapillaarinen	ˈkɑpilːɑːrinen
kapinallisliike	ˈkɑpinɑlːisˌliːkeˣ
kapiolakana	ˈkɑpioˌlɑkɑnɑ
kapoinen	ˈkɑpoi̯nen
kappalekauppa	ˈkɑpːɑleˣˌkɑu̯pːɑ
kappeliseurakunta	ˈkɑpːeliˌseu̯rɑˌkuntɑ
kapsahdus	ˈkɑpsɑhdus
kapsäkki	ˈkɑpsækːi
kaput	ˈkɑput
karahtaminen	ˈkɑrɑhtɑminen
karakteristinen	ˈkɑrɑkteristinen
karamelliväri	ˈkɑrɑmelːiˌʋæri
karboksyyliryhmä	ˈkɑrboksyːliˌryhmæ
kardinaalikollegio	ˈkɑrdinɑːliˌkolːeɡio
karenssi	ˈkɑrensːi
karhi	ˈkɑrhi
karhukainen	ˈkɑrhukɑi̯nen
karhunkaataja	ˈkɑrhunˌkɑːtɑjɑ
karhunpesä	ˈkɑrhunˌpesæ
kari	ˈkɑri
karikkoranta	ˈkɑrikːoˌrɑntɑ
karismaatikko	ˈkɑrismɑːtikːo
karistesieni	ˈkɑristeˣˌsie̯ni
karitsoittaa	ˈkɑritsoi̯tːɑːˣ
karjahdus	ˈkɑrjɑhdus
karjanhoitaja	ˈkɑrjɑnˌhoi̯tɑjɑ
karjanpito	ˈkɑrjɑnˌpito
karjataloustekniikka	ˈkɑrjɑˌtɑlousˌtekniːkːɑ
karkaaminen	ˈkɑrkɑːminen
karkaussekunti	ˈkɑrkɑusˌsekunti
karkeapuheinen	ˈkɑrkeɑˌpuhei̯nen
karkeishionta	ˈkɑrkei̯sˌhiontɑ
karkkikauppa	ˈkɑrkːiˌkɑu̯pːɑ
karkotusmääräys	ˈkɑrkotusˌmæːræys
karkuteillä	ˈkɑrkuˌtei̯lːæ
karmeus	ˈkɑrmeus
karnevaalisamba	ˈkɑrneʋɑːliˌsɑmbɑ
karpalo	ˈkɑrpɑlo
karppaus	ˈkɑrpːɑus
karrikatyyri	ˈkɑrːikɑtyːri
